Insit.Punc	Insit.Pcol	Test.Punc	Test.Pcol	RTest.Punc	RTest.Pcol	RTest.rateUnc	RTest.rateCol	Out.acquire	Out.clear	LABX.base	LABX.time	LABX.dens	LABX.freq	LABX.colabx	LABX.susabx	LABX.susever	LABX.clr	LABX.clrAbx	LABX.clrEver	Abx.rateUnc	Abx.rateCol	LogLike
0.8114504103	0.1885495897	0.0000000000	0.8905333229	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009501909	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0086913458	1.0000000000	1.0000000000	1.0000000000	0.0414152298	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12077
0.1074623423	0.8925376577	0.0000000000	0.8937686630	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009457178	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0091732365	1.0000000000	1.0000000000	1.0000000000	0.0307942863	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12040.3
0.9946910441	0.0053089559	0.0000000000	0.8844076708	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009457178	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0096509535	1.0000000000	1.0000000000	1.0000000000	0.0236361136	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12013.8
0.5399137725	0.4600862275	0.0000000000	0.8801757764	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009775081	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0078782411	1.0000000000	1.0000000000	1.0000000000	0.0280694543	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12090.3
0.1610041315	0.8389958685	0.0000000000	0.8642066950	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009985364	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0056800397	1.0000000000	1.0000000000	1.0000000000	0.0213439640	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12101.6
0.8642043769	0.1357956231	0.0000000000	0.8622038977	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009985364	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0061086604	1.0000000000	1.0000000000	1.0000000000	0.0205828230	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12031.7
0.6543926626	0.3456073374	0.0000000000	0.8612742440	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009985364	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0060695027	1.0000000000	1.0000000000	1.0000000000	0.0265781995	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12071.8
0.9859943126	0.0140056874	0.0000000000	0.8362861393	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0011188162	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0058450607	1.0000000000	1.0000000000	1.0000000000	0.0355478821	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12118.4
0.9024128916	0.0975871084	0.0000000000	0.8589681535	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0009917405	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0052550801	1.0000000000	1.0000000000	1.0000000000	0.0399265774	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12101
0.4772829754	0.5227170246	0.0000000000	0.9204140839	0.5000000000	0.5000000000	1.0000000000	1.0000000000	0.0008766885	0.0100000000	0.0000000000	1.0000000000	0.0000000000	0.0044638493	1.0000000000	1.0000000000	1.0000000000	0.0345618781	1.0000000000	1.0000000000	1.0000000000	1.0000000000	-12077.4
